,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15012.0,231.0,68.0,361.7,248.01,243.97,181.23,306.0,138.85,199.88,173.27,165.78,287.83
1,20068.0,88.0,130.0,67.71,14.78,74.39,16.01,60.04,17.2,36.52,24.4,467.92,96.8
2,25148.0,329.0,152.0,582.24,188.17,411.57,104.7,191.6,353.06,352.82,348.8,558.85,195.97
3,30225.0,384.0,223.0,374.19,79.74,452.72,634.93,248.26,59.63,716.84,259.4,673.43,342.78
4,35500.0,340.0,149.0,459.51,326.91,102.73,376.62,90.06,221.85,364.95,481.99,560.26,413.04
5,40661.0,258.0,49.0,230.88,281.75,260.05,145.92,261.48,338.31,312.77,259.92,234.65,257.96
6,45742.0,-6.0,1.0,-5.14,-4.3,-6.45,-6.07,-5.98,-5.86,-6.02,-5.13,-5.84,-5.41
7,51076.0,348.0,15.0,341.92,328.09,327.7,363.91,357.74,361.2,360.43,341.87,326.65,366.1
8,56349.0,-27.0,21.0,-33.45,-69.84,-12.97,-7.32,-50.32,-37.35,1.33,-9.63,-35.66,-17.19
9,61432.0,55.0,98.0,41.5,28.57,-24.8,29.28,-5.79,32.91,26.0,343.75,47.62,31.2
10,66622.0,347.0,148.0,235.63,282.98,449.57,260.59,553.4,456.29,234.68,399.61,531.36,62.79
11,71843.0,407.0,180.0,544.48,332.09,506.0,369.38,480.87,69.53,382.95,721.89,499.13,161.55
12,76946.0,400.0,229.0,313.96,338.28,334.82,1071.45,353.41,267.56,264.46,453.64,300.91,303.98
13,82219.0,323.0,118.0,429.8,456.9,454.35,117.47,286.33,245.81,405.59,256.36,166.16,406.69
14,87458.0,145.0,178.0,303.1,18.33,-28.91,286.5,-10.61,-18.1,291.51,444.2,250.68,-84.35
15,92619.0,823.0,567.0,427.98,450.4,1937.87,443.76,250.72,1275.29,706.61,1280.94,1347.27,113.88
16,97779.0,175.0,254.0,-16.34,-2.27,34.85,7.13,363.55,791.25,405.29,-5.21,7.36,163.23
17,103038.0,351.0,110.0,514.46,364.96,222.59,278.64,194.38,314.67,412.59,421.59,260.89,525.8
18,108283.0,317.0,143.0,521.64,267.65,441.98,461.04,293.59,235.03,420.89,1.61,275.5,251.26
19,113577.0,238.0,74.0,246.18,154.25,300.65,280.62,194.07,166.08,191.06,289.18,159.6,394.59
20,119086.0,494.0,307.0,559.4,225.2,1014.93,666.95,460.87,1000.9,341.71,47.07,220.99,402.36
21,124285.0,427.0,26.0,401.92,389.17,441.02,444.47,391.13,432.06,424.29,476.53,448.39,419.23
22,129618.0,1329.0,1.0,1328.06,1328.96,1329.5,1329.41,1329.93,1329.45,1328.74,1328.74,1329.42,1329.05
23,135008.0,-3.0,121.0,-44.32,-46.23,-14.85,-68.92,125.55,-127.0,-18.9,-105.31,306.32,-34.47
24,140229.0,874.0,313.0,438.93,1013.9,94.56,1029.36,1033.45,1038.42,1004.63,1029.34,1021.81,1034.99
25,145469.0,229.0,195.0,538.39,50.84,359.97,181.99,31.03,105.35,70.67,487.51,440.56,23.69
26,151704.0,492.0,152.0,542.99,648.84,307.56,291.11,483.97,554.92,381.99,680.12,707.57,318.31
27,158614.0,1633.0,679.0,2509.41,1738.06,1951.44,147.4,1557.44,1073.46,1833.9,1069.45,2494.57,1949.95
28,164078.0,2427.0,509.0,2634.45,2656.57,2676.75,2685.34,2745.12,2633.5,1798.5,1118.63,2646.45,2679.64
29,171359.0,2087.0,939.0,3212.21,1361.48,3002.23,1822.53,2695.75,2845.77,1166.09,98.15,1983.5,2686.95
30,178683.0,2031.0,904.0,2820.94,2876.17,1693.89,3232.9,2653.41,2906.7,831.61,971.89,1327.53,995.27
31,183729.0,1155.0,1141.0,2906.79,1053.71,155.01,2772.94,1225.97,2728.65,210.11,118.88,106.07,275.11
32,190816.0,1145.0,141.0,1063.92,1007.86,1207.25,1330.46,1047.21,1235.49,1001.09,1419.67,1136.37,996.01
33,198112.0,1449.0,494.0,1317.45,1016.57,2121.95,2602.17,1339.54,1208.33,1381.18,1438.04,909.93,1159.46
34,205927.0,2318.0,647.0,1569.79,1761.39,2966.43,2880.65,2197.47,1379.46,3012.76,2896.31,1605.38,2914.41
35,211402.0,2049.0,674.0,2402.4,1401.18,1984.73,852.33,3004.26,1577.34,1470.57,2811.94,2741.54,2241.68
36,217041.0,2194.0,774.0,2820.23,602.0,2845.49,2887.48,1371.71,1419.45,2150.19,2845.48,2865.28,2135.96
37,222541.0,2692.0,136.0,2860.04,2356.42,2554.44,2761.32,2714.63,2692.61,2762.34,2807.24,2737.01,2670.58
38,228607.0,2682.0,36.0,2699.05,2662.48,2686.5,2639.75,2697.38,2755.04,2713.37,2647.22,2630.42,2690.66
39,233800.0,2696.0,25.0,2666.78,2727.5,2682.0,2671.39,2723.11,2734.01,2709.82,2660.11,2701.61,2683.5
40,240125.0,2830.0,128.0,2503.04,2890.79,2798.16,2900.33,2933.35,2880.01,2699.69,2922.59,2911.13,2860.17
41,246303.0,2687.0,433.0,1482.69,2904.74,2969.03,2758.48,2394.55,2797.93,2973.45,2803.55,2802.72,2981.3
42,253336.0,3002.0,35.0,3018.59,2969.21,2911.73,3028.75,3017.19,3023.58,2989.92,3010.14,3023.78,3031.64
43,260418.0,2945.0,61.0,2893.79,2935.77,2919.05,2940.7,2937.59,2863.31,2916.55,3048.96,2931.92,3066.3
44,266832.0,2717.0,532.0,3165.3,3026.21,2320.44,1655.65,3189.66,2292.04,3166.1,3163.98,3054.36,2140.86
45,273858.0,2741.0,616.0,3147.16,3088.45,2417.91,3064.21,3083.06,3144.7,3106.65,1388.31,1804.63,3167.6
46,280391.0,2879.0,30.0,2849.24,2884.31,2849.26,2846.59,2900.95,2915.41,2872.57,2931.62,2842.57,2894.55
