,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15192.0,112.0,116.0,42.46,350.58,104.79,44.41,332.59,62.55,34.57,39.67,52.78,58.6
1,20358.0,5.0,1.0,5.55,6.11,5.7,5.55,1.58,5.02,5.15,5.48,5.42,6.35
2,25493.0,4.0,0.0,4.01,3.96,4.01,4.05,4.37,3.86,4.24,4.15,4.27,3.84
3,30628.0,7.0,0.0,7.25,7.67,7.28,7.12,7.48,8.02,7.32,7.45,7.37,7.46
4,35875.0,0.0,0.0,0.43,0.41,0.32,0.3,0.42,0.35,0.37,0.41,0.38,0.52
5,40941.0,174.0,113.0,294.34,225.67,63.37,76.16,213.28,60.63,360.21,75.52,308.25,67.51
6,46155.0,186.0,224.0,35.02,12.23,225.07,34.3,228.21,656.36,554.44,37.33,34.25,38.29
7,51250.0,9.0,1.0,7.74,10.8,9.25,8.84,9.98,6.48,9.07,8.98,10.18,7.12
8,56585.0,240.0,144.0,44.05,141.82,379.22,99.29,182.94,370.78,346.82,382.38,408.53,42.71
9,61847.0,627.0,318.0,993.69,426.72,446.77,991.14,357.64,227.72,998.36,644.68,977.4,206.5
10,66896.0,5.0,1.0,5.55,6.11,5.7,5.55,1.58,5.02,5.15,5.48,5.42,6.35
11,72229.0,748.0,101.0,728.23,614.06,704.83,773.91,837.43,863.01,862.51,822.18,544.35,726.43
12,77247.0,363.0,115.0,542.46,593.76,357.21,399.81,248.65,305.0,376.39,229.19,312.58,268.38
13,82599.0,484.0,154.0,722.28,690.73,354.97,561.72,391.76,650.41,401.75,441.43,239.5,387.44
14,87728.0,425.0,81.0,427.24,424.06,447.79,382.5,584.18,437.71,290.84,308.3,495.6,450.35
15,93001.0,402.0,188.0,255.23,356.46,353.4,929.68,236.02,401.26,395.42,366.55,265.64,456.25
16,98353.0,344.0,256.0,249.58,360.78,59.84,400.52,974.92,140.07,274.36,244.99,135.7,599.98
17,103614.0,338.0,124.0,62.19,521.87,364.08,377.78,447.52,375.76,339.56,242.29,420.87,223.89
18,108691.0,210.0,142.0,436.82,249.37,93.33,69.94,264.16,76.04,85.72,165.6,487.51,175.09
19,113777.0,187.0,172.0,543.23,91.03,65.15,113.19,58.58,367.3,68.09,77.96,71.17,409.82
20,118984.0,218.0,168.0,412.04,37.07,36.37,53.34,33.51,275.33,270.32,305.04,540.66,217.44
21,124160.0,143.0,150.0,116.54,462.3,85.29,58.3,49.72,79.72,40.34,76.57,414.26,43.33
22,129236.0,490.0,138.0,621.69,564.21,388.89,417.98,602.09,230.65,731.4,435.36,518.53,387.4
23,134328.0,447.0,206.0,647.46,310.67,462.04,311.68,399.16,759.85,637.31,436.11,-7.21,509.86
24,139377.0,387.0,141.0,333.62,582.64,482.75,132.29,422.62,356.88,204.53,318.68,581.68,458.21
25,144593.0,413.0,513.0,48.04,231.23,64.97,86.83,37.02,1666.34,965.72,275.92,690.97,60.65
26,149702.0,713.0,391.0,553.34,171.83,622.78,1450.18,1226.91,801.88,840.61,182.98,442.31,838.15
27,156051.0,898.0,386.0,769.14,1183.06,1453.97,551.8,807.39,509.54,1630.6,510.12,994.86,565.88
28,162297.0,987.0,428.0,1125.53,699.42,884.97,1759.37,539.25,803.19,409.45,1711.0,838.11,1097.11
29,167603.0,1347.0,619.0,1074.74,662.47,1413.57,2779.01,1957.47,1069.26,1015.43,1599.99,1329.31,569.27
30,174783.0,2609.0,728.0,2917.22,3089.65,2938.0,2007.03,3037.05,605.65,2748.01,2874.81,2953.31,2917.75
31,179818.0,2633.0,319.0,2703.14,2566.95,2743.47,2597.92,2788.94,2924.84,2688.11,2780.5,1722.94,2814.34
32,185486.0,2886.0,80.0,2872.55,2841.02,2924.0,2791.97,2879.95,2805.14,2913.1,2880.92,3095.27,2852.77
33,191371.0,3287.0,117.0,3245.48,3368.7,3243.21,3171.67,3300.86,3031.1,3309.77,3426.96,3331.85,3444.88
34,197245.0,3408.0,90.0,3467.02,3444.55,3414.59,3195.27,3501.89,3494.2,3301.35,3418.99,3385.09,3460.52
35,202791.0,3391.0,87.0,3374.49,3516.93,3372.51,3394.43,3551.12,3281.35,3297.32,3375.86,3298.85,3451.14
36,209988.0,3162.0,885.0,576.96,3641.11,3308.16,3502.81,2925.12,3463.65,3592.03,3634.69,3447.08,3532.89
37,217188.0,3437.0,107.0,3525.18,3415.33,3324.91,3556.71,3520.16,3292.12,3360.76,3333.37,3420.12,3623.54
38,224376.0,3305.0,97.0,3416.28,3493.53,3160.6,3222.19,3280.82,3329.3,3239.21,3388.32,3292.64,3223.2
39,231313.0,3129.0,57.0,3095.33,3150.12,3219.58,3025.04,3161.65,3062.87,3093.09,3128.07,3160.23,3195.28
40,237510.0,3108.0,265.0,3275.76,3323.49,2943.87,3305.24,2500.24,2845.93,3325.44,2990.13,3283.66,3283.78
41,243935.0,2163.0,1183.0,3424.62,1770.97,3461.91,2875.15,2459.36,2220.59,9.46,254.24,1759.36,3391.18
42,249607.0,2747.0,783.0,2059.37,3501.03,3558.88,3154.91,1609.85,3572.53,2415.01,2972.74,3251.01,1378.11
43,255917.0,1694.0,817.0,792.66,3466.8,2187.97,1435.3,1208.32,1693.04,2461.19,1883.77,512.49,1296.56
44,262467.0,2659.0,888.0,3629.78,3546.52,2756.3,1237.75,2350.71,3414.9,2142.77,3635.07,2710.77,1165.83
45,268689.0,1816.0,919.0,507.1,2634.15,1773.17,2918.9,1696.69,1418.34,276.0,3093.35,2486.33,1354.28
46,273963.0,3044.0,553.0,3087.15,3466.2,2600.93,2539.22,3627.85,3489.18,3674.06,2092.11,3462.13,2400.89
47,281025.0,1257.0,1176.0,142.86,673.62,104.44,2107.47,101.51,956.34,2246.27,3514.46,201.45,2519.18
48,286683.0,2725.0,619.0,2296.31,3407.59,1962.4,3053.89,3364.77,2683.81,2030.22,3631.97,1871.7,2944.06
49,292640.0,3670.0,56.0,3648.71,3740.64,3572.28,3585.87,3663.83,3668.01,3674.99,3697.31,3689.06,3758.24
50,298505.0,2460.0,977.0,3656.19,1682.51,2507.76,2568.1,500.29,3667.04,2984.41,3359.91,1427.81,2245.73
51,304034.0,3376.0,976.0,3295.18,3804.04,3868.2,3702.67,3924.06,3717.9,3647.41,3952.92,519.79,3327.9
52,310926.0,2774.0,975.0,3418.4,3631.69,3580.14,1855.69,1413.63,1539.32,3592.31,3525.37,1544.68,3637.58
53,318342.0,3644.0,123.0,3553.07,3805.63,3793.58,3768.95,3527.77,3446.86,3516.85,3742.71,3670.44,3610.68
54,326066.0,3648.0,63.0,3513.18,3634.28,3676.64,3774.62,3640.97,3677.98,3663.08,3658.59,3587.41,3653.41
55,334137.0,3367.0,682.0,3253.67,3671.57,3618.47,3652.74,3586.05,3668.52,3685.88,3599.4,3582.14,1353.63
56,340908.0,3530.0,163.0,3182.15,3662.25,3657.73,3511.14,3453.19,3366.93,3666.46,3695.6,3673.15,3428.95
57,348667.0,3040.0,824.0,3412.04,3654.23,3691.48,2979.03,2123.77,3419.11,3383.07,3436.27,3378.12,923.07
58,356962.0,3434.0,408.0,3618.98,3653.03,3606.16,3519.21,3697.75,3645.48,2241.02,3507.38,3427.54,3426.76
