,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15337.0,72.0,21.0,56.75,82.83,18.62,80.45,68.87,91.25,90.49,82.93,70.09,82.07
1,20544.0,93.0,25.0,101.38,107.97,47.77,104.33,39.19,109.67,101.57,105.08,104.22,112.35
2,25583.0,110.0,49.0,171.89,89.12,34.13,66.43,156.31,167.62,77.74,80.25,172.65,81.82
3,30661.0,210.0,39.0,240.44,246.29,156.13,265.08,254.77,173.58,178.94,158.14,222.73,206.88
4,35734.0,15.0,2.0,13.73,17.06,11.6,17.41,19.1,15.1,13.57,13.62,15.33,16.66
5,40760.0,177.0,107.0,284.56,101.21,162.07,286.04,232.06,35.91,212.99,347.9,54.59,52.15
6,45774.0,6.0,0.0,5.9,6.09,6.44,6.1,6.68,6.04,6.19,5.88,6.8,6.7
7,50902.0,303.0,86.0,277.92,282.6,547.74,279.73,288.17,209.56,255.61,316.23,292.75,284.17
8,56033.0,248.0,67.0,263.35,413.24,195.92,291.72,215.82,174.9,249.99,259.85,246.02,168.0
9,61114.0,440.0,202.0,305.22,573.31,330.65,517.6,311.38,290.57,477.69,968.95,300.26,322.09
10,66180.0,472.0,22.0,470.86,469.87,474.58,498.24,430.59,475.63,512.71,446.33,470.9,470.88
11,71185.0,399.0,173.0,850.95,360.87,122.53,407.46,360.18,379.68,307.34,451.99,339.8,413.32
12,76531.0,397.0,264.0,167.57,374.34,209.73,200.39,854.98,122.59,896.02,470.39,231.86,439.37
13,81657.0,338.0,84.0,486.63,281.91,347.82,204.9,288.88,340.07,382.3,446.33,362.74,236.77
14,86723.0,488.0,21.0,465.75,486.1,483.25,476.99,501.1,480.51,475.86,473.55,542.88,497.8
15,91903.0,83.0,25.0,75.99,84.86,51.72,89.41,138.61,62.37,58.79,61.53,103.63,103.75
16,97048.0,60.0,57.0,68.95,43.29,27.36,50.91,111.98,16.47,211.27,34.37,20.15,18.99
17,102120.0,566.0,104.0,590.75,576.63,574.26,585.85,681.82,346.75,747.56,542.41,460.43,554.58
18,107236.0,342.0,92.0,432.18,293.17,262.87,363.0,254.96,502.98,346.03,246.43,252.59,469.7
19,112541.0,238.0,102.0,100.39,160.62,212.91,201.88,264.0,463.57,110.93,326.19,284.85,256.92
20,117666.0,341.0,29.0,363.9,316.99,341.81,301.82,342.4,345.04,318.6,355.37,407.18,319.36
21,122697.0,627.0,347.0,424.52,550.48,531.99,554.34,427.05,1376.7,596.48,163.07,1172.45,471.21
22,127771.0,786.0,107.0,886.23,781.2,573.87,914.06,887.67,610.1,808.31,817.73,774.91,807.99
23,132909.0,-1.0,0.0,-1.51,-1.57,-1.02,-1.76,-1.2,-1.19,-1.35,-1.44,-1.26,-1.34
24,138122.0,113.0,45.0,227.41,135.42,97.4,104.6,71.73,111.05,149.84,86.39,77.83,73.31
25,143189.0,178.0,44.0,132.69,148.06,173.96,206.38,130.69,193.81,143.87,155.94,225.76,272.17
26,148364.0,203.0,79.0,176.98,162.38,182.77,138.08,235.51,142.36,143.31,144.73,333.33,369.01
27,153440.0,401.0,172.0,333.33,196.0,619.49,172.29,686.9,424.04,248.49,419.39,588.73,317.43
28,158820.0,274.0,173.0,215.39,320.17,601.13,289.26,351.73,534.22,124.54,97.73,97.08,109.78
29,164474.0,552.0,269.0,1080.31,660.93,236.1,426.27,828.52,323.09,170.19,755.8,534.03,502.19
30,170263.0,626.0,448.0,1044.64,538.63,1160.14,98.53,1172.14,1168.17,87.2,114.05,281.33,593.34
31,175636.0,668.0,538.0,1422.1,401.28,190.84,634.06,531.24,1962.07,339.78,459.02,345.48,398.88
32,183014.0,837.0,551.0,562.64,2078.1,153.09,1219.59,489.26,342.03,1260.6,557.45,554.85,1154.63
33,188656.0,737.0,648.0,272.12,384.18,268.06,210.44,547.79,273.15,1812.86,345.93,1959.32,1292.2
34,195389.0,2907.0,736.0,1993.69,2813.34,3573.54,2525.98,3360.01,3239.25,3440.4,1233.9,3533.21,3353.13
35,200497.0,1964.0,1154.0,803.2,484.12,975.91,3415.89,2380.61,3392.71,2592.34,486.88,1779.81,3330.64
36,207683.0,2260.0,1228.0,263.99,3076.49,2992.94,261.51,3001.32,651.17,3185.36,3133.25,3024.73,3005.08
37,213794.0,3114.0,379.0,3009.23,2592.95,3315.88,3363.32,2224.85,3349.05,3342.14,3455.59,3295.48,3191.74
38,220994.0,2539.0,1035.0,3157.42,1546.34,2475.97,3248.31,747.01,3381.75,3381.91,3369.19,811.62,3267.24
39,227272.0,3208.0,199.0,3282.69,3382.02,3136.95,3110.53,3111.97,3361.27,3287.38,3159.31,2743.93,3506.83
40,232408.0,2856.0,772.0,3070.26,3095.07,3110.43,3035.48,3069.55,553.08,3268.3,3035.96,3057.49,3266.75
41,238905.0,3316.0,17.0,3325.41,3301.96,3325.22,3312.7,3316.14,3325.95,3349.54,3317.09,3293.74,3287.73
42,243975.0,3507.0,730.0,1322.7,3809.64,3705.13,3666.63,3772.08,3792.97,3726.8,3847.94,3661.54,3765.11
43,251028.0,2325.0,1026.0,3005.7,2046.36,2387.07,2017.8,3430.79,3080.96,538.85,3119.04,3180.52,442.69
44,257686.0,2766.0,1079.0,2220.23,721.05,3841.29,3359.48,1704.96,3449.92,1788.59,2574.57,4081.39,3922.19
45,264146.0,2043.0,1339.0,702.76,315.89,1861.22,3896.53,2656.86,1756.75,366.46,1360.12,3597.31,3920.63
46,270553.0,4007.0,54.0,4065.88,4044.37,3934.73,3988.44,3902.42,4080.59,3981.74,3995.62,4040.69,4035.09
47,277368.0,3964.0,471.0,4272.97,4119.93,4216.37,4067.11,4130.38,3961.18,2572.76,4101.46,4155.54,4041.4
48,284568.0,3771.0,785.0,2354.23,4139.72,4314.79,2070.05,4100.81,4119.04,4193.96,4188.23,4070.42,4159.53
49,291613.0,3990.0,447.0,2687.76,4194.05,3833.23,4106.37,4180.34,4169.84,4243.07,4195.62,4162.53,4130.25
50,298813.0,3822.0,730.0,4131.06,4057.56,4061.42,3995.97,3993.3,4072.44,1637.63,4145.63,3998.0,4125.41
51,306613.0,3557.0,1021.0,4118.75,3985.83,1253.34,3944.21,4086.53,4204.63,1827.2,3888.06,4197.64,4060.54
52,314263.0,2904.0,1645.0,3896.76,4023.94,3957.78,4012.15,3922.06,277.42,471.95,432.35,4052.88,3994.93
53,321004.0,4242.0,148.0,4342.94,3947.67,4381.01,4273.01,4266.08,4360.17,4034.59,4105.77,4368.81,4344.41
54,327006.0,2802.0,1158.0,3408.3,4345.52,525.93,3780.22,1755.66,2272.96,2939.22,4275.49,2884.45,1829.55
55,332357.0,4156.0,407.0,4414.59,3502.27,4383.51,4339.88,4345.04,4413.73,4308.2,4323.75,4315.6,3208.53
56,339287.0,4109.0,702.0,4372.7,4328.05,4365.88,4331.12,4382.39,4201.86,4445.62,4287.35,4365.19,2009.46
57,346579.0,4277.0,48.0,4289.76,4259.73,4277.34,4293.57,4352.09,4308.53,4205.81,4284.37,4184.14,4316.97
58,354979.0,4103.0,323.0,4265.06,3991.2,4220.56,4217.9,4074.25,3180.8,4230.56,4220.88,4375.95,4247.93
59,363243.0,4294.0,27.0,4284.12,4303.99,4317.86,4244.72,4295.28,4253.37,4335.96,4312.61,4283.17,4306.96
60,370802.0,3599.0,1725.0,4516.37,182.52,4359.02,4464.3,4431.05,4428.11,4413.27,4547.68,119.76,4527.82
61,379202.0,1507.0,1921.0,342.95,210.2,4614.29,4309.17,227.11,181.47,4392.52,317.85,218.63,257.72
62,386362.0,2079.0,2144.0,174.42,201.01,459.44,491.9,311.7,4697.51,4687.75,4705.94,342.25,4719.78
63,393395.0,4216.0,1252.0,4640.36,4662.11,4702.96,4681.1,466.81,4635.99,4494.78,4735.52,4610.53,4530.56
64,400362.0,3995.0,1396.0,436.85,2201.23,4725.66,4646.92,4518.05,4748.1,4655.26,4683.37,4678.96,4657.72
65,407181.0,2205.0,2030.0,208.05,4606.76,4548.96,327.87,344.29,4363.68,2609.79,250.64,4655.53,130.03
66,415431.0,3814.0,1806.0,111.59,4715.34,297.99,4643.33,4787.98,4800.65,4667.8,4750.27,4673.58,4696.33
67,424235.0,4653.0,43.0,4709.2,4656.07,4639.48,4542.71,4680.89,4683.24,4684.06,4630.45,4641.93,4659.27
68,432416.0,4737.0,39.0,4734.88,4708.51,4673.52,4745.88,4814.82,4730.73,4703.49,4781.29,4759.27,4714.02
69,442016.0,4796.0,56.0,4905.69,4852.17,4721.53,4805.25,4832.93,4744.85,4778.09,4730.22,4823.32,4761.45
70,451616.0,3416.0,2119.0,118.51,4803.89,4813.74,318.69,104.36,4793.73,4785.25,4799.74,4818.73,4804.64
71,459138.0,3370.0,2112.0,132.01,4709.13,4802.32,94.93,205.95,4771.91,4714.33,4725.85,4759.9,4781.59
72,466077.0,4224.0,1366.0,4740.22,4466.99,4717.34,4728.05,4635.58,4655.72,4728.05,4708.36,134.02,4729.03
73,474379.0,4563.0,28.0,4577.86,4541.05,4600.71,4611.29,4554.0,4559.93,4533.27,4515.26,4563.46,4571.31
74,483588.0,4172.0,1346.0,4662.43,4639.83,4645.92,4616.42,4657.65,4568.31,4610.92,4586.87,4596.4,135.6
75,490069.0,4223.0,1361.0,4686.62,4666.59,4687.18,4714.61,4672.89,4680.12,4619.26,4622.85,4733.79,141.38
76,498879.0,4021.0,720.0,4704.46,3247.57,4649.25,4701.08,4761.54,4676.83,2753.96,3362.09,3743.32,3607.17
77,508498.0,4713.0,67.0,4741.16,4743.22,4696.21,4737.25,4744.81,4760.56,4703.98,4752.17,4734.39,4519.73
78,518427.0,4810.0,27.0,4770.08,4832.2,4777.52,4836.69,4836.35,4819.61,4785.53,4779.27,4820.95,4837.71
79,523463.0,4808.0,52.0,4853.33,4849.53,4671.67,4836.18,4815.78,4855.81,4819.39,4765.95,4807.48,4804.9
80,528863.0,4818.0,24.0,4807.45,4825.61,4809.38,4823.69,4813.73,4756.94,4844.65,4819.49,4842.51,4836.18
81,534263.0,4756.0,57.0,4721.35,4813.5,4714.33,4758.45,4821.26,4752.8,4788.22,4661.22,4841.85,4691.82
82,539663.0,4861.0,40.0,4894.43,4800.96,4862.91,4850.72,4883.98,4867.96,4902.28,4890.36,4773.22,4884.52
83,545063.0,4882.0,56.0,4873.27,4910.59,4903.42,4902.59,4908.01,4908.61,4911.9,4889.23,4717.33,4897.73
84,550463.0,4910.0,10.0,4898.95,4912.77,4905.78,4930.81,4911.4,4893.67,4913.12,4901.11,4914.97,4914.08
85,555863.0,4924.0,10.0,4914.96,4935.13,4914.49,4938.17,4920.28,4912.86,4921.61,4941.63,4925.34,4919.57
86,561263.0,4893.0,65.0,4932.62,4895.31,4737.53,4920.52,4904.49,4929.82,4934.47,4949.11,4802.35,4922.0
87,566663.0,4066.0,1273.0,3213.67,1724.39,4939.45,4948.96,4931.22,4926.1,4942.41,4819.99,4485.13,1730.63
88,576639.0,4936.0,13.0,4948.83,4930.57,4931.24,4939.68,4915.55,4946.78,4958.9,4932.47,4942.17,4918.14
89,586624.0,4926.0,16.0,4943.48,4906.53,4937.89,4946.11,4946.63,4917.47,4916.02,4930.09,4908.16,4905.58
90,592024.0,3929.0,1899.0,4943.08,4928.52,138.71,4948.6,4813.16,126.24,4949.47,4753.64,4918.94,4765.52
91,597424.0,4914.0,31.0,4936.93,4931.28,4925.44,4917.51,4933.22,4903.73,4944.6,4880.96,4932.2,4838.88
92,602824.0,4953.0,19.0,4969.47,4950.64,4970.32,4946.59,4966.17,4965.18,4963.79,4952.15,4901.79,4944.93
93,608824.0,4939.0,24.0,4942.65,4941.67,4883.91,4965.23,4953.06,4912.11,4960.18,4956.06,4951.53,4920.14
94,614824.0,4888.0,88.0,4915.89,4949.16,4921.76,4952.16,4892.33,4889.73,4697.87,4957.77,4959.31,4741.23
95,620824.0,4855.0,36.0,4832.44,4920.93,4884.96,4907.97,4809.49,4812.35,4837.65,4846.9,4854.93,4837.41
96,626636.0,4782.0,44.0,4763.78,4831.22,4785.9,4837.59,4793.98,4810.4,4792.09,4674.29,4757.02,4768.78
97,631712.0,3863.0,1850.0,199.67,4779.97,4819.38,4765.29,4764.58,4719.26,4834.24,128.53,4869.77,4747.68
98,636970.0,4018.0,1802.0,4936.81,4910.39,4934.06,125.59,723.33,4928.34,4934.17,4900.56,4863.97,4926.94
99,642970.0,4878.0,44.0,4828.28,4910.21,4900.15,4825.63,4785.61,4911.31,4907.01,4900.67,4914.34,4892.68
100,648970.0,4850.0,56.0,4824.2,4766.93,4906.44,4818.24,4851.76,4887.63,4886.69,4926.11,4752.62,4884.05
101,654040.0,3439.0,2043.0,4843.68,4773.39,193.88,214.76,4783.32,4741.72,4712.78,556.41,4798.03,4772.26
102,660040.0,3432.0,2097.0,4773.41,4777.82,4869.3,409.61,4847.94,4791.67,4811.23,4753.26,130.44,153.63
103,665103.0,2994.0,2142.0,4710.12,109.05,1121.22,4740.36,4722.54,4769.71,214.27,119.18,4716.29,4718.86
104,671103.0,4876.0,28.0,4873.56,4911.54,4890.6,4857.01,4817.5,4903.53,4857.43,4902.78,4851.66,4894.66
105,677103.0,4848.0,65.0,4825.68,4688.17,4921.66,4900.29,4921.26,4849.93,4829.82,4828.38,4890.34,4824.17
106,683103.0,4828.0,85.0,4766.32,4809.42,4832.57,4864.45,4965.37,4853.52,4930.23,4835.57,4777.81,4641.64
107,689103.0,3390.0,2125.0,156.67,4783.94,4714.0,4838.69,4797.76,4729.37,126.89,148.36,4781.83,4818.1
108,694196.0,4876.0,30.0,4844.43,4876.52,4869.38,4907.32,4882.79,4875.6,4812.2,4868.74,4901.63,4921.19
109,700196.0,4988.0,23.0,5020.86,4988.27,4983.58,4997.9,4996.5,4990.51,5000.83,4994.76,4928.45,4982.02
110,706196.0,4991.0,36.0,5002.96,4989.8,4966.3,4987.93,5004.06,5023.22,5026.49,5036.17,4904.73,4968.66
111,712196.0,4971.0,11.0,4976.27,4973.45,4960.67,4970.84,4983.11,4952.82,4969.51,4958.64,4990.97,4972.96
112,718196.0,4968.0,15.0,4969.98,4970.41,4936.35,4959.48,4992.96,4968.58,4960.3,4960.93,4976.76,4985.97
113,724196.0,4987.0,13.0,4989.9,4974.26,4974.49,4982.33,4991.36,4974.76,4988.21,4979.84,4998.05,5018.49
114,730196.0,4993.0,14.0,4989.66,4995.62,4972.98,5004.95,5002.16,4984.57,4966.3,5004.05,5001.77,5008.12
115,736196.0,4993.0,9.0,4994.91,4990.42,5008.36,4989.64,4994.34,4995.49,4970.31,4999.2,4991.32,4999.72
116,742196.0,4988.0,10.0,4982.52,4967.97,4985.6,4987.65,5001.63,5001.2,4978.88,4990.23,4995.43,4988.68
117,748196.0,4987.0,15.0,4992.98,4984.05,5005.93,5007.45,4983.95,5000.81,4981.65,4980.13,4954.78,4976.23
118,754196.0,4975.0,37.0,4993.79,4930.45,4988.4,5007.7,4952.28,5007.04,4998.43,5001.3,4890.28,4977.58
119,760196.0,4977.0,27.0,5000.39,4978.71,4937.49,4971.14,4999.4,4973.45,4929.23,4965.78,5005.22,5013.34
120,766196.0,4934.0,30.0,4947.34,4938.84,4948.02,4868.31,4884.7,4953.98,4963.79,4957.75,4929.77,4946.93
121,772196.0,4942.0,28.0,4954.67,4967.25,4982.1,4976.12,4896.61,4944.02,4934.59,4918.92,4936.3,4905.0
122,778196.0,4899.0,43.0,4946.66,4903.6,4935.53,4910.22,4818.94,4925.18,4903.07,4947.72,4842.45,4854.82
123,788379.0,4931.0,24.0,4917.3,4920.27,4923.6,4956.13,4903.19,4930.19,4951.54,4914.66,4911.41,4986.65
124,794379.0,4968.0,35.0,4995.95,4962.37,4983.58,5000.11,4956.25,4994.98,4987.28,4990.04,4911.42,4895.59
125,800379.0,4969.0,18.0,4983.88,4977.87,4970.07,4990.42,4968.59,4975.78,4980.7,4960.28,4961.63,4921.55
126,805972.0,4878.0,61.0,4874.07,4823.99,4907.52,4746.57,4914.23,4928.21,4938.04,4871.3,4953.63,4825.86
127,816797.0,4865.0,54.0,4886.34,4734.38,4895.83,4870.76,4825.93,4929.47,4837.49,4930.38,4863.61,4874.82
128,822797.0,4947.0,12.0,4936.02,4936.18,4944.01,4954.65,4951.73,4946.07,4947.78,4938.12,4934.09,4978.35
129,828512.0,4948.0,42.0,4887.69,4924.74,4920.65,4881.95,4928.47,4986.3,4975.57,4991.86,4986.96,4992.33
130,834512.0,4846.0,198.0,4918.63,4795.09,4269.93,4908.62,4898.82,4969.23,4924.82,4912.61,4887.74,4976.75
131,840512.0,4919.0,34.0,4929.17,4918.14,4931.53,4887.89,4927.48,4955.63,4955.52,4953.58,4847.57,4881.04
132,846512.0,4770.0,416.0,4856.81,4967.3,4900.74,4901.06,4972.76,4975.97,4942.81,4761.73,4884.59,3534.99
