,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15054.0,190.0,1.0,190.35,190.62,190.41,189.92,187.78,190.27,187.66,190.12,189.77,192.57
1,20088.0,183.0,4.0,184.46,184.42,180.81,185.75,178.35,180.34,178.56,185.74,179.43,192.69
2,25094.0,168.0,2.0,166.99,167.53,165.21,170.99,167.49,164.94,167.54,171.46,168.67,172.44
3,30097.0,335.0,97.0,364.24,369.05,369.14,371.21,365.58,369.37,365.39,368.47,43.04,368.03
4,35198.0,41.0,1.0,41.36,41.41,43.22,39.59,41.51,41.47,43.15,39.63,39.71,39.3
5,40314.0,40.0,1.0,40.07,40.12,40.22,39.95,41.75,40.1,41.74,39.98,39.98,39.74
6,45504.0,39.0,1.0,39.34,39.44,39.46,37.52,41.33,39.34,41.24,37.54,37.55,37.35
7,50664.0,23.0,0.0,22.49,22.53,22.61,22.56,22.59,22.53,24.03,22.52,22.69,22.32
8,55926.0,27.0,1.0,28.32,28.41,26.8,26.82,28.23,28.32,26.67,26.76,26.87,26.46
9,61003.0,21.0,1.0,21.49,21.61,20.15,20.12,21.55,20.07,21.55,20.15,18.75,21.52
10,66198.0,27.0,3.0,27.58,30.36,27.27,26.67,29.55,24.74,30.39,27.95,20.35,26.98
11,71483.0,347.0,102.0,312.94,310.46,314.73,314.58,310.94,310.19,309.72,313.49,322.78,651.65
12,76715.0,117.0,207.0,49.41,46.26,49.58,47.74,49.54,737.41,49.53,47.71,49.43,44.14
13,81757.0,41.0,1.0,40.87,42.53,41.12,39.14,42.73,40.91,42.71,39.15,39.27,40.45
14,87038.0,590.0,72.0,587.27,670.75,472.59,619.56,547.15,587.52,497.81,619.18,569.45,730.55
15,92172.0,23.0,1.0,23.42,23.42,23.54,21.98,23.49,23.53,23.49,23.39,22.09,23.13
16,97366.0,21.0,1.0,22.12,22.16,22.24,20.62,22.24,22.22,22.24,20.64,19.37,20.4
