,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15313.0,47.0,1.0,45.97,47.15,45.69,46.02,47.41,46.44,47.32,46.43,47.25,45.52
1,20551.0,49.0,1.0,48.93,48.25,48.63,48.86,48.69,51.09,48.4,49.24,48.36,48.41
2,25849.0,10.0,0.0,9.79,9.66,9.73,9.82,9.69,9.86,9.67,9.85,9.66,9.78
3,31016.0,8.0,0.0,7.72,7.76,7.72,7.93,7.75,7.8,7.7,7.91,7.77,6.87
4,36260.0,17.0,6.0,22.12,21.71,21.96,10.1,21.98,10.1,21.91,10.15,21.78,10.02
5,41295.0,8.0,0.0,7.68,7.63,7.67,7.63,7.65,7.7,7.61,7.71,7.6,7.64
6,46550.0,14.0,0.0,14.04,14.88,15.17,13.98,14.69,13.98,14.84,14.03,14.7,14.35
7,51573.0,10.0,0.0,10.02,9.78,10.11,9.51,10.17,9.98,10.17,10.12,10.11,9.7
8,56824.0,13.0,1.0,14.36,11.54,12.89,14.32,12.78,14.47,15.42,14.48,12.72,11.76
9,61918.0,8.0,0.0,8.64,8.21,8.57,8.01,8.41,8.58,8.48,8.26,8.15,7.97
10,67018.0,10.0,0.0,9.7,9.54,9.58,8.42,9.6,9.84,9.52,9.82,9.56,9.75
11,72151.0,10.0,0.0,9.9,9.75,9.72,9.95,9.78,10.02,9.68,10.04,9.78,9.89
12,77578.0,7.0,0.0,6.99,7.02,6.96,6.92,7.05,7.06,6.93,7.03,6.98,6.91
13,82729.0,7.0,0.0,7.48,6.65,7.46,6.6,6.69,6.73,7.39,6.7,6.62,6.62
14,88091.0,10.0,0.0,10.13,9.91,10.02,8.99,9.95,10.16,9.96,9.05,9.91,8.94
15,93140.0,10.0,0.0,9.9,9.76,9.78,9.98,11.16,10.08,11.06,10.07,9.79,10.01
16,98382.0,8.0,0.0,8.24,7.33,8.23,7.34,8.23,8.26,8.2,7.39,7.31,7.34
17,103433.0,11.0,0.0,11.29,11.18,11.19,10.18,11.2,11.41,11.16,11.45,11.2,10.14
18,109048.0,8.0,0.0,7.99,7.96,7.97,8.0,7.97,8.01,7.94,8.05,7.95,8.0
19,114269.0,13.0,1.0,12.94,12.7,12.79,11.47,12.75,13.05,12.71,13.02,12.7,11.42
20,119417.0,14.0,1.0,14.0,13.77,13.9,14.22,13.77,14.03,13.81,14.17,13.84,15.63
21,124478.0,127.0,41.0,249.63,111.59,117.37,110.27,108.15,118.64,114.64,118.21,112.0,114.44
22,129810.0,155.0,57.0,111.07,109.85,115.76,245.61,236.18,111.59,243.47,124.18,118.48,135.37
23,135140.0,8.0,0.0,8.23,7.44,8.16,7.42,7.39,7.5,8.09,7.6,7.43,7.61
24,140425.0,13.0,0.0,13.33,13.2,13.15,12.09,13.21,13.51,13.1,13.6,13.21,13.53
25,146022.0,87.0,1.0,87.4,86.87,87.16,87.06,87.15,85.7,87.05,87.62,86.86,88.74
26,151833.0,2780.0,745.0,3405.88,3343.98,3378.34,2137.98,3380.28,3250.3,3438.57,2197.78,1820.75,1442.36
27,159041.0,3261.0,163.0,3329.17,3364.94,2897.95,3379.34,2984.26,3365.65,3329.52,3309.34,3340.36,3312.68
28,164784.0,3193.0,293.0,3324.26,3333.49,2755.3,3347.35,3321.6,3368.24,3326.18,2485.47,3362.75,3301.79
29,170784.0,3296.0,106.0,3295.71,3366.5,3331.01,3306.57,3330.53,3301.44,3367.86,3367.22,3310.3,2987.61
30,176784.0,2863.0,578.0,3332.52,3306.25,3280.25,2796.1,1940.25,1948.55,3316.75,3282.65,3277.79,2150.96
31,182754.0,2524.0,658.0,1942.48,1856.24,2489.93,3318.24,1929.54,1910.82,3325.87,3293.72,1902.85,3271.3
32,188754.0,2631.0,639.0,2495.56,3051.16,3355.07,2720.0,3369.37,3353.04,1930.63,2672.22,1650.25,1717.41
