,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15083.0,87.0,1.0,86.54,86.27,86.14,89.07,86.81,86.3,86.03,86.58,86.79,89.74
1,20338.0,91.0,1.0,91.7,91.87,91.31,92.22,91.99,89.77,89.58,91.7,91.91,92.31
2,25529.0,249.0,2.0,247.79,254.31,249.51,250.26,246.82,250.17,247.58,247.27,246.08,247.6
3,30605.0,281.0,5.0,277.02,274.97,288.93,286.62,276.77,278.07,280.58,286.57,286.74,277.84
4,35656.0,20.0,0.0,20.11,19.94,19.99,19.86,20.06,19.76,19.82,20.07,20.1,20.04
5,40911.0,155.0,108.0,320.95,84.57,85.74,84.62,83.11,84.76,82.98,318.92,323.32,84.74
6,46102.0,27.0,1.0,25.79,25.67,25.65,27.0,29.19,26.91,25.46,25.51,25.56,29.03
7,51415.0,172.0,2.0,173.15,175.14,172.79,174.42,170.99,169.92,172.61,176.02,170.76,167.59
8,56637.0,52.0,3.0,48.53,48.49,50.04,51.11,50.97,52.25,55.27,53.74,57.35,52.79
9,61802.0,37.0,1.0,35.75,33.66,37.26,35.3,37.38,37.25,39.15,37.22,37.25,37.34
10,67024.0,391.0,23.0,437.63,372.02,406.73,372.63,384.56,372.38,367.96,400.08,373.72,419.38
11,72046.0,14.0,2.0,12.03,12.61,12.17,12.29,12.37,17.1,15.72,13.84,16.43,13.46
12,77258.0,27.0,3.0,24.15,24.15,24.1,25.59,23.82,29.78,29.9,28.38,28.14,29.97
13,82380.0,13.0,0.0,12.97,12.88,12.91,12.75,12.93,12.71,12.77,12.89,12.9,12.84
14,87607.0,795.0,84.0,891.35,806.41,742.78,653.89,890.81,866.18,709.01,689.7,852.69,848.17
15,92824.0,922.0,6.0,915.02,924.57,911.55,916.49,921.3,927.38,927.16,927.8,926.83,921.72
16,97977.0,360.0,1.0,358.99,358.89,361.83,359.34,359.48,359.23,361.95,361.92,362.3,359.75
17,103087.0,40.0,2.0,39.17,37.58,39.03,40.99,37.45,40.97,42.92,40.99,42.88,43.02
18,108354.0,23.0,1.0,23.79,21.91,21.88,23.51,23.75,23.49,21.96,21.9,21.92,23.65
19,113452.0,30.0,2.0,29.68,27.89,31.34,27.78,31.45,27.8,31.27,31.28,31.33,31.45
20,118638.0,348.0,48.0,330.56,330.57,334.35,331.19,328.2,331.69,331.5,491.12,331.94,336.58
21,123679.0,701.0,127.0,832.13,853.53,816.84,550.54,780.68,548.13,730.23,556.87,798.99,546.35
22,128767.0,375.0,5.0,374.02,375.58,376.77,370.59,388.51,372.34,372.59,374.43,374.94,369.1
