,Step,Mean,Std,Reward1,Reward2,Reward3,Reward4,Reward5,Reward6,Reward7,Reward8,Reward9,Reward10
0,15022.0,834.0,2.0,832.21,831.92,835.16,834.85,831.1,832.18,833.28,833.36,836.87,836.18
1,21480.0,936.0,6.0,932.2,936.65,922.89,935.8,946.29,937.84,930.94,941.42,936.5,944.1
2,26857.0,975.0,6.0,973.96,975.63,972.08,970.2,973.17,986.52,975.37,975.7,986.47,964.96
3,32746.0,622.0,7.0,613.53,625.38,622.1,614.01,626.34,621.05,628.93,626.24,632.67,607.78
4,38773.0,686.0,3.0,683.46,684.77,685.2,684.42,686.8,692.0,688.47,689.59,687.15,679.31
5,44360.0,880.0,3.0,876.41,880.36,878.01,872.65,884.39,879.27,882.87,881.8,881.18,883.1
6,49870.0,878.0,76.0,967.0,780.54,972.92,866.48,964.86,801.65,849.9,807.36,806.31,963.99
7,55894.0,753.0,3.0,750.98,750.31,754.6,750.92,753.56,761.73,750.68,752.97,752.41,749.4
8,61460.0,733.0,8.0,725.61,742.3,726.0,728.24,736.85,731.6,743.88,736.76,739.69,718.0
9,67452.0,652.0,2.0,651.71,650.26,656.91,654.99,649.19,652.32,650.43,652.11,652.14,650.94
10,72686.0,253.0,268.0,84.49,54.93,43.91,778.91,735.11,222.03,53.64,205.21,319.92,29.67
11,78154.0,603.0,6.0,595.8,606.37,597.16,597.68,605.54,606.17,610.21,608.71,607.07,594.9
12,83909.0,735.0,27.0,683.49,752.58,743.47,744.17,707.78,750.7,754.83,759.89,756.2,693.44
13,89189.0,641.0,9.0,633.21,647.05,639.81,620.37,644.49,648.89,651.8,646.21,648.12,631.0
14,95306.0,687.0,6.0,678.9,688.38,686.5,677.59,686.05,691.71,687.2,698.12,691.48,681.15
15,100595.0,833.0,11.0,824.6,836.67,830.85,828.06,840.03,844.91,845.83,845.8,829.96,807.24
16,105665.0,891.0,6.0,883.4,893.02,885.48,887.24,898.32,888.86,893.2,899.11,898.73,883.23
17,110725.0,846.0,7.0,848.79,850.73,846.54,824.33,849.13,850.77,849.36,847.64,849.87,847.85
18,116147.0,785.0,10.0,773.04,789.12,787.51,779.75,768.94,794.94,794.01,793.62,793.6,771.3
19,121208.0,848.0,20.0,837.6,838.26,839.04,840.71,836.99,840.02,888.7,886.15,839.33,836.7
20,126802.0,768.0,14.0,748.09,778.53,748.76,752.99,772.95,771.59,778.59,787.18,781.91,758.67
21,131962.0,809.0,2.0,810.37,809.41,810.09,805.92,809.85,812.04,807.33,809.53,808.97,810.11
22,137000.0,757.0,8.0,753.13,753.54,781.55,756.51,754.92,757.52,752.3,757.93,750.34,756.33
23,142271.0,566.0,25.0,527.26,543.21,583.96,579.16,595.68,544.28,550.43,595.0,547.49,594.08
24,148523.0,943.0,4.0,944.6,937.59,938.01,943.96,943.6,944.43,942.22,944.7,939.47,950.06
25,153769.0,850.0,8.0,849.08,838.47,861.01,857.11,838.19,852.96,844.84,858.07,845.74,859.26
26,159453.0,934.0,5.0,933.92,933.94,941.58,925.02,938.48,929.03,938.93,933.21,934.23,932.56
27,165028.0,853.0,4.0,846.76,860.62,849.55,849.64,854.01,853.09,856.76,848.94,859.84,854.05
28,171028.0,820.0,4.0,816.35,816.81,827.96,823.42,820.93,813.55,816.33,820.6,821.65,822.58
29,177028.0,417.0,4.0,410.57,419.08,415.88,412.69,418.59,419.25,422.83,420.26,419.19,415.29
30,182621.0,780.0,2.0,777.81,780.72,780.5,782.61,781.58,779.12,781.32,780.42,777.15,778.08
31,188242.0,897.0,5.0,894.59,891.29,894.17,894.29,896.0,895.7,896.79,894.18,911.11,898.18
32,193857.0,968.0,52.0,972.58,910.89,897.99,1007.29,1012.81,985.9,948.36,944.16,924.29,1077.71
33,199857.0,1008.0,46.0,1032.06,1033.8,1028.27,1047.45,1065.65,948.1,977.48,961.38,931.34,1055.77
34,206045.0,977.0,75.0,888.34,987.56,905.46,1073.66,904.87,1019.73,920.9,1087.97,1066.78,918.7
35,213245.0,1027.0,106.0,998.53,965.99,930.22,1216.24,1094.55,968.93,1011.24,1003.46,878.63,1205.61
36,219737.0,1099.0,229.0,656.7,1135.75,1197.25,1066.12,1055.78,1350.97,1377.82,850.3,1379.74,920.82
37,225963.0,830.0,368.0,601.52,1185.47,995.89,53.21,968.74,372.41,887.99,1357.06,1008.7,866.42
38,232494.0,513.0,329.0,724.83,146.32,771.33,871.89,848.27,165.81,808.35,133.28,36.63,627.59
39,238846.0,841.0,359.0,1306.49,221.47,997.51,1053.52,880.63,895.71,103.34,1053.34,988.0,907.83
40,245109.0,645.0,396.0,1021.24,275.98,209.63,1193.31,142.6,537.38,193.49,1040.17,1037.62,799.73
41,251735.0,711.0,406.0,1024.59,687.68,150.3,857.4,1169.79,872.11,637.98,1345.1,272.17,94.09
42,258264.0,1007.0,397.0,1045.01,605.53,1078.55,1460.42,887.02,670.39,338.71,871.54,1563.56,1553.86
43,264881.0,1252.0,405.0,1429.91,281.6,1250.23,1589.38,1635.01,1274.81,1209.33,771.26,1603.3,1470.71
44,271270.0,867.0,433.0,1097.31,336.97,444.37,1398.18,173.39,1314.13,1103.81,1295.21,1017.06,493.0
45,278017.0,1008.0,433.0,757.75,188.38,785.03,1465.47,1040.99,766.91,1555.34,1490.12,631.99,1393.28
46,285217.0,1654.0,323.0,694.44,1683.44,1730.11,1695.68,1755.85,1758.37,1851.33,1757.29,1804.2,1805.33
47,292233.0,1676.0,510.0,1966.94,1883.86,1971.3,1845.24,373.81,1895.36,1925.14,2031.67,1826.71,1041.88
